["37.3017528", "-122.0007441"]
testMap.js:53 (2) ["37.3014057", "-122.0007491"]
testMap.js:53 (2) ["37.3009229", "-122.0009637"]
testMap.js:53 (2) ["37.3007834", "-122.0009744"]
testMap.js:53 (2) ["37.300601", "-122.000953"]
testMap.js:53 (2) ["37.3002148", "-122.0007169"]
testMap.js:53 (2) ["37.2998929", "-122.0005453"]
testMap.js:53 (2) ["37.2996891", "-122.0004916"]
testMap.js:53 (2) ["37.2994637", "-122.0004916"]
testMap.js:53 (2) ["37.299099", "-122.0005774"]
testMap.js:53 (2) ["37.2989595", "-121.999687"]
testMap.js:53 (2) ["37.2994423", "-121.9995689"]
testMap.js:53 (2) ["37.2996247", "-121.9995689"]
testMap.js:53 (2) ["37.3001719", "-121.9996762"]
testMap.js:53 (2) ["37.3004293", "-121.9996977"]
testMap.js:53 (2) ["37.3008478", "-121.9996119"]
testMap.js:53 (2) ["37.3010516", "-121.9994938"]
testMap.js:53 (2) ["37.30147", "-121.9991934"]
testMap.js:53 (2) ["37.3021245", "-121.9986463"]
testMap.js:53 (2) ["37.3025107", "-122.0000732"]
testMap.js:53 (2) ["37.3026395", "-122.0006847"]
testMap.js:53 (2) ["37.3027468", "-122.0014894"]
testMap.js:53 (2) ["37.3028862", "-122.0029593"]
testMap.js:53 (2) ["37.303412", "-122.00459"]
testMap.js:53 (2) ["37.3036265", "-122.0054913"]
testMap.js:53 (2) ["37.3011267", "-122.0064032"]
testMap.js:53 (2) ["37.2996783", "-122.0069933"]
testMap.js:53 (2) ["37.2980583", "-122.0071971"]
